Name                                                                        Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------
config\__init__.py                                                              0      0   100%
config\settings.py                                                             38      0   100%
config\urls.py                                                                  7      0   100%
lms\__init__.py                                                                 0      0   100%
lms\admin.py                                                                    0      0   100%
lms\apps.py                                                                     4      0   100%
lms\migrations\0001_initial.py                                                  5      0   100%
lms\migrations\0002_initial.py                                                  7      0   100%
lms\migrations\0003_alter_course_options_alter_lesson_options.py                4      0   100%
lms\migrations\0004_course_owner_lesson_owner.py                                6      0   100%
lms\migrations\0005_subscription.py                                             6      0   100%
lms\migrations\__init__.py                                                      0      0   100%
lms\models.py                                                                  32      2    94%
lms\paginators.py                                                               5      0   100%
lms\permissions.py                                                              6      1    83%
lms\serializers.py                                                             21      5    76%
lms\tests.py                                                                   46      0   100%
lms\urls.py                                                                     9      0   100%
lms\validators.py                                                              12      4    67%
lms\views.py                                                                   53     19    64%
manage.py                                                                      11      2    82%
users\__init__.py                                                               0      0   100%
users\admin.py                                                                  0      0   100%
users\apps.py                                                                   4      0   100%
users\migrations\0001_initial.py                                                8      0   100%
users\migrations\0002_alter_user_options_remove_user_username_and_more.py       6      0   100%
users\migrations\0003_moderatorgroup.py                                         5      0   100%
users\migrations\0004_delete_moderatorgroup.py                                  4      0   100%
users\migrations\0005_alter_user_managers.py                                    5      0   100%
users\migrations\__init__.py                                                    0      0   100%
users\models.py                                                                54     16    70%
users\permissions.py                                                            9      2    78%
users\serializers.py                                                           21      4    81%
users\tests.py                                                                  0      0   100%
users\urls.py                                                                   7      0   100%
users\views.py                                                                 46      2    96%
-----------------------------------------------------------------------------------------------
TOTAL                                                                         441     57    87%
